,Location,Location_Type,State,Bedroom_Size,Price_2014__AVG,Price_2015__AVG,Price_2016__AVG,Price_2017__AVG,Price_2018__AVG,Price_2019__AVG
113,"Boston, MA",City,MA,3br,2499.0833333333335,2517.0,2548.6666666666665,2588.1666666666665,2621.0833333333335,2655.0
114,"Boston, MA",City,MA,4br,2754.9166666666665,2774.5833333333335,2809.1666666666665,2853.0,2889.1666666666665,2926.3333333333335
115,"Seattle, WA",City,WA,Studio,987.4166666666666,1040.0,1109.3333333333333,1163.75,1159.4166666666667,1164.6666666666667
116,"Seattle, WA",City,WA,1br,1130.4166666666667,1190.75,1270.1666666666667,1332.1666666666667,1327.1666666666667,1333.0
117,"Seattle, WA",City,WA,2br,1407.9166666666667,1482.6666666666667,1581.8333333333333,1659.0833333333333,1652.9166666666667,1660.3333333333333
118,"Seattle, WA",City,WA,3br,2043.4166666666667,2152.1666666666665,2295.75,2408.1666666666665,2399.0833333333335,2409.8333333333335
119,"Seattle, WA",City,WA,4br,2430.4166666666665,2559.75,2730.4166666666665,2864.3333333333335,2853.4166666666665,2866.1666666666665
120,"Louisville, KY",City,KY,Studio,545.5833333333334,555.0833333333334,572.3333333333334,587.0833333333334,581.5,584.1666666666666
121,"Louisville, KY",City,KY,1br,620.8333333333334,632.0,651.6666666666666,668.6666666666666,662.0833333333334,664.8333333333334
122,"Louisville, KY",City,KY,2br,784.6666666666666,798.6666666666666,823.5,844.9166666666666,836.6666666666666,840.3333333333334
123,"Louisville, KY",City,KY,3br,1075.0833333333333,1094.25,1128.0833333333333,1157.4166666666667,1146.3333333333333,1152.0
124,"Louisville, KY",City,KY,4br,1221.4166666666667,1243.0,1281.6666666666667,1315.1666666666667,1302.1666666666667,1308.3333333333333
125,"Washington, DC",City,DC,Studio,1216.0,1223.4166666666667,1262.5,1262.3333333333333,1267.25,1281.6666666666667
126,"Washington, DC",City,DC,1br,1277.0,1285.0,1325.8333333333333,1325.5833333333333,1330.9166666666667,1346.0
127,"Washington, DC",City,DC,2br,1475.3333333333333,1484.1666666666667,1531.5833333333333,1531.4166666666667,1537.3333333333333,1554.6666666666667
128,"Washington, DC",City,DC,3br,1945.9166666666667,1957.75,2020.1666666666667,2019.75,2027.6666666666667,2050.5
129,"Washington, DC",City,DC,4br,2412.9166666666665,2427.5833333333335,2505.1666666666665,2504.5833333333335,2514.5,2542.8333333333335
130,"Denver, CO",City,CO,Studio,759.4166666666666,809.5,836.3333333333334,851.9166666666666,863.3333333333334,873.5
131,"Denver, CO",City,CO,1br,927.8333333333334,988.6666666666666,1021.6666666666666,1040.5,1054.5833333333333,1067.1666666666667
132,"Denver, CO",City,CO,2br,1174.25,1251.6666666666667,1293.25,1317.0833333333333,1335.0,1350.6666666666667
133,"Denver, CO",City,CO,3br,1706.0833333333333,1818.4166666666667,1878.9166666666667,1913.9166666666667,1939.4166666666667,1962.0
134,"Denver, CO",City,CO,4br,1975.9166666666667,2105.9166666666665,2176.25,2216.5,2246.3333333333335,2272.3333333333335
135,"Milwaukee, WI",City,WI,Studio,574.8333333333334,583.3333333333334,584.75,588.9166666666666,590.25,594.0
136,"Milwaukee, WI",City,WI,1br,699.25,709.5,711.1666666666666,715.9166666666666,717.8333333333334,722.8333333333334
137,"Milwaukee, WI",City,WI,2br,866.3333333333334,879.25,881.3333333333334,887.3333333333334,889.3333333333334,895.6666666666666
138,"Milwaukee, WI",City,WI,3br,1091.4166666666667,1107.9166666666667,1110.5833333333333,1118.1666666666667,1120.8333333333333,1128.3333333333333
139,"Milwaukee, WI",City,WI,4br,1225.3333333333333,1243.5833333333333,1246.5,1255.0,1258.1666666666667,1266.5
140,"Portland, OR",City,OR,Studio,946.0,1000.8333333333334,1026.9166666666667,1027.0833333333333,1012.0,1011.5
141,"Portland, OR",City,OR,1br,1052.75,1113.5,1142.6666666666667,1142.5833333333333,1125.9166666666667,1125.0
142,"Portland, OR",City,OR,2br,1241.9166666666667,1313.9166666666667,1348.0833333333333,1348.0833333333333,1328.3333333333333,1327.6666666666667
143,"Portland, OR",City,OR,3br,1807.6666666666667,1912.5,1962.4166666666667,1962.3333333333333,1933.5,1932.5
144,"Portland, OR",City,OR,4br,2188.0833333333335,2314.75,2375.25,2375.0,2340.4166666666665,2338.8333333333335
145,"Las Vegas, NV",City,NV,Studio,641.0,661.6666666666666,687.75,719.0833333333334,750.0833333333334,768.6666666666666
146,"Las Vegas, NV",City,NV,1br,783.5833333333334,809.0833333333334,840.9166666666666,879.1666666666666,917.25,939.8333333333334
147,"Las Vegas, NV",City,NV,2br,971.5,1002.8333333333334,1042.5,1089.75,1137.0833333333333,1165.1666666666667
148,"Las Vegas, NV",City,NV,3br,1414.0,1459.8333333333333,1517.25,1586.3333333333333,1655.25,1696.0
149,"Las Vegas, NV",City,NV,4br,1703.4166666666667,1758.4166666666667,1827.6666666666667,1911.1666666666667,1993.8333333333333,2043.1666666666667
150,"Oklahoma City, OK",City,OK,Studio,556.4166666666666,563.75,570.5833333333334,569.1666666666666,565.25,569.1666666666666
151,"Oklahoma City, OK",City,OK,1br,616.1666666666666,624.4166666666666,631.8333333333334,630.5833333333334,626.25,630.1666666666666
152,"Oklahoma City, OK",City,OK,2br,788.5,798.9166666666666,808.4166666666666,806.6666666666666,800.9166666666666,806.3333333333334
153,"Oklahoma City, OK",City,OK,3br,1079.9166666666667,1093.9166666666667,1107.0,1104.6666666666667,1097.0,1104.1666666666667
154,"Oklahoma City, OK",City,OK,4br,1318.0833333333333,1335.4166666666667,1351.5,1348.5833333333333,1339.4166666666667,1347.8333333333333
155,"Albuquerque, NM",City,NM,Studio,510.0,516.0833333333334,526.9166666666666,543.3333333333334,550.6666666666666,556.0
156,"Albuquerque, NM",City,NM,1br,655.5,663.4166666666666,677.3333333333334,698.25,707.75,714.6666666666666
157,"Albuquerque, NM",City,NM,2br,803.6666666666666,813.5833333333334,830.5,856.4166666666666,867.8333333333334,876.3333333333334
158,"Albuquerque, NM",City,NM,3br,1170.0,1184.3333333333333,1208.8333333333333,1246.4166666666667,1263.3333333333333,1275.5
159,"Albuquerque, NM",City,NM,4br,1416.0833333333333,1433.5833333333333,1463.0833333333333,1508.8333333333333,1529.1666666666667,1544.0
160,"Tucson, AZ",City,AZ,Studio,548.25,551.8333333333334,560.75,577.1666666666666,588.25,595.3333333333334
161,"Tucson, AZ",City,AZ,1br,650.6666666666666,654.8333333333334,665.25,684.75,697.9166666666666,706.1666666666666
162,"Tucson, AZ",City,AZ,2br,864.0,869.6666666666666,883.6666666666666,909.6666666666666,927.0833333333334,938.0
163,"Tucson, AZ",City,AZ,3br,1257.8333333333333,1266.0,1286.0833333333333,1323.9166666666667,1349.25,1365.5
164,"Tucson, AZ",City,AZ,4br,1488.1666666666667,1497.8333333333333,1521.9166666666667,1566.3333333333333,1596.5,1615.8333333333333
165,"Fresno, CA",City,CA,Studio,687.5833333333334,703.0833333333334,717.5,752.9166666666666,774.4166666666666,785.5
166,"Fresno, CA",City,CA,1br,727.9166666666666,744.3333333333334,759.5,797.0833333333334,819.8333333333334,831.5
167,"Fresno, CA",City,CA,2br,910.0833333333334,930.75,949.8333333333334,996.5833333333334,1025.0,1039.6666666666667
168,"Fresno, CA",City,CA,3br,1290.8333333333333,1319.9166666666667,1346.8333333333333,1413.5,1453.8333333333333,1474.5
169,"Fresno, CA",City,CA,4br,1508.5833333333333,1542.5833333333333,1573.9166666666667,1651.9166666666667,1698.8333333333333,1723.1666666666667
170,"Sacramento, CA",City,CA,Studio,699.0,732.3333333333334,754.25,811.1666666666666,842.75,850.8333333333334
171,"Sacramento, CA",City,CA,1br,787.4166666666666,824.8333333333334,849.9166666666666,913.6666666666666,949.25,958.3333333333334
172,"Sacramento, CA",City,CA,2br,998.5,1046.25,1077.5833333333333,1158.75,1203.75,1215.5
173,"Sacramento, CA",City,CA,3br,1450.5833333333333,1519.75,1565.4166666666667,1683.0833333333333,1748.75,1765.5
174,"Sacramento, CA",City,CA,4br,1759.75,1843.6666666666667,1898.9166666666667,2041.6666666666667,2121.25,2141.6666666666665
175,"Long Beach, CA",City,CA,Studio,943.0,1008.9166666666666,1075.9166666666667,1125.3333333333333,1149.0,1156.5
176,"Long Beach, CA",City,CA,1br,1122.3333333333333,1200.9166666666667,1280.75,1339.3333333333333,1367.5833333333333,1376.6666666666667
177,"Long Beach, CA",City,CA,2br,1442.25,1543.0833333333333,1645.6666666666667,1721.1666666666667,1757.25,1768.6666666666667
178,"Long Beach, CA",City,CA,3br,1960.25,2097.0833333333335,2236.75,2339.0833333333335,2388.3333333333335,2404.1666666666665
179,"Long Beach, CA",City,CA,4br,2161.3333333333335,2312.3333333333335,2466.1666666666665,2579.25,2633.25,2650.8333333333335
180,"Kansas City, MO",City,MO,Studio,546.0,560.9166666666666,572.75,577.0,581.5833333333334,583.6666666666666
181,"Kansas City, MO",City,MO,1br,691.4166666666666,710.0,724.5833333333334,730.1666666666666,736.0,739.1666666666666
182,"Kansas City, MO",City,MO,2br,847.4166666666666,870.4166666666666,888.4166666666666,895.5,902.4166666666666,906.1666666666666
183,"Kansas City, MO",City,MO,3br,1158.3333333333333,1189.75,1214.5833333333333,1223.75,1233.75,1238.6666666666667
184,"Kansas City, MO",City,MO,4br,1310.6666666666667,1346.4166666666667,1374.5,1385.0833333333333,1396.1666666666667,1401.8333333333333
185,"Mesa, AZ",City,AZ,Studio,585.5,613.3333333333334,647.75,682.0,705.25,726.8333333333334
186,"Mesa, AZ",City,AZ,1br,711.5,744.8333333333334,786.6666666666666,828.25,856.8333333333334,882.6666666666666
187,"Mesa, AZ",City,AZ,2br,886.3333333333334,927.9166666666666,980.25,1032.1666666666667,1067.75,1099.6666666666667
188,"Mesa, AZ",City,AZ,3br,1289.8333333333333,1350.6666666666667,1426.75,1502.1666666666667,1553.8333333333333,1600.8333333333333
189,"Mesa, AZ",City,AZ,4br,1496.5,1567.0,1655.1666666666667,1742.6666666666667,1802.75,1857.1666666666667
190,"Virginia Beach, VA",City,VA,Studio,1003.6666666666666,1015.6666666666666,1027.4166666666667,1051.8333333333333,1060.5,1067.0
191,"Virginia Beach, VA",City,VA,1br,1008.9166666666666,1021.1666666666666,1033.0,1057.4166666666667,1065.9166666666667,1072.3333333333333
192,"Virginia Beach, VA",City,VA,2br,1214.25,1228.6666666666667,1243.0,1272.5,1282.9166666666667,1290.8333333333333
193,"Virginia Beach, VA",City,VA,3br,1694.8333333333333,1715.1666666666667,1735.1666666666667,1776.4166666666667,1790.75,1801.6666666666667
194,"Virginia Beach, VA",City,VA,4br,2114.6666666666665,2139.9166666666665,2165.0,2216.0,2234.25,2248.0
195,"Atlanta, GA",City,GA,Studio,837.0,885.8333333333334,930.5833333333334,954.25,972.5833333333334,987.0
196,"Atlanta, GA",City,GA,1br,877.5,929.0,976.0833333333334,1000.9166666666666,1020.0,1035.3333333333333
197,"Atlanta, GA",City,GA,2br,1013.6666666666666,1073.0833333333333,1127.6666666666667,1156.25,1178.1666666666667,1196.0
198,"Atlanta, GA",City,GA,3br,1331.0,1408.5833333333333,1480.25,1517.6666666666667,1546.5,1570.0
199,"Atlanta, GA",City,GA,4br,1635.5833333333333,1731.25,1819.3333333333333,1865.4166666666667,1900.9166666666667,1929.3333333333333
200,"Colorado Springs, CO",City,CO,Studio,618.3333333333334,657.8333333333334,722.5833333333334,759.8333333333334,779.4166666666666,789.3333333333334
201,"Colorado Springs, CO",City,CO,1br,753.1666666666666,801.5,880.0833333333334,925.4166666666666,949.4166666666666,961.3333333333334
202,"Colorado Springs, CO",City,CO,2br,971.5,1033.5833333333333,1135.0833333333333,1193.5833333333333,1224.4166666666667,1240.1666666666667
203,"Colorado Springs, CO",City,CO,3br,1412.75,1503.0,1650.5833333333333,1735.5,1780.25,1803.0
204,"Colorado Springs, CO",City,CO,4br,1711.5833333333333,1821.0,2000.0,2102.8333333333335,2157.1666666666665,2184.6666666666665
205,"Omaha, NE",City,NE,Studio,569.8333333333334,579.4166666666666,585.3333333333334,596.0833333333334,597.9166666666666,602.8333333333334
206,"Omaha, NE",City,NE,1br,717.0,729.0833333333334,736.6666666666666,750.0833333333334,752.1666666666666,758.5
207,"Omaha, NE",City,NE,2br,896.4166666666666,911.25,921.0,937.75,940.3333333333334,948.5
208,"Omaha, NE",City,NE,3br,1206.5,1226.8333333333333,1239.5833333333333,1262.3333333333333,1265.9166666666667,1276.5
209,"Omaha, NE",City,NE,4br,1322.8333333333333,1345.1666666666667,1359.25,1384.0833333333333,1387.9166666666667,1399.8333333333333
210,"Raleigh, NC",City,NC,Studio,697.3333333333334,734.0,757.5,778.6666666666666,790.0833333333334,807.0
